Arquivo;Classe Real;Classe Prevista;Score SVM;Distância Absoluta do Hiperplano;Probabilidade Fake (%);Confiança (%);Resultado
2652.txt;Fake;Fake;0.520125;0.520125;62.72;62.72;Acerto
2653.txt;Fake;Fake;0.76855;0.76855;68.32;68.32;Acerto
2654.txt;Fake;Fake;0.871139;0.871139;70.5;70.5;Acerto
2655.txt;Fake;Fake;0.631197;0.631197;65.28;65.28;Acerto
2656.txt;Fake;Fake;0.550272;0.550272;63.42;63.42;Acerto
2657.txt;Fake;Fake;1.163578;1.163578;76.2;76.2;Acerto
2658.txt;Fake;Fake;1.001853;1.001853;73.14;73.14;Acerto
2659.txt;Fake;Fake;1.018305;1.018305;73.46;73.46;Acerto
2660.txt;Fake;Fake;0.725643;0.725643;67.38;67.38;Acerto
2661.txt;Fake;Fake;1.7308;1.7308;84.95;84.95;Acerto
2662.txt;Fake;Fake;0.921931;0.921931;71.54;71.54;Acerto
2663.txt;Fake;Fake;0.82065;0.82065;69.44;69.44;Acerto
2664.txt;Fake;Fake;0.354466;0.354466;58.77;58.77;Acerto
2665.txt;Fake;Fake;1.298566;1.298566;78.56;78.56;Acerto
2666.txt;Fake;Fake;1.123297;1.123297;75.46;75.46;Acerto
2667.txt;Fake;Fake;1.609882;1.609882;83.34;83.34;Acerto
2668.txt;Fake;Fake;0.412762;0.412762;60.18;60.18;Acerto
2669.txt;Fake;Fake;1.060744;1.060744;74.28;74.28;Acerto
2670.txt;Fake;Fake;0.66437;0.66437;66.02;66.02;Acerto
2671.txt;Fake;Fake;1.25744;1.25744;77.86;77.86;Acerto
2672.txt;Fake;Fake;1.27624;1.27624;78.18;78.18;Acerto
2673.txt;Fake;Fake;0.737494;0.737494;67.64;67.64;Acerto
2674.txt;Fake;Fake;0.513114;0.513114;62.55;62.55;Acerto
2675.txt;Fake;Fake;1.044531;1.044531;73.97;73.97;Acerto
2676.txt;Fake;Fake;1.482358;1.482358;81.49;81.49;Acerto
2677.txt;Fake;Fake;1.027155;1.027155;73.64;73.64;Acerto
2678.txt;Fake;Verdadeira;-0.346675;0.346675;41.42;58.58;Erro
2679.txt;Fake;Fake;0.979694;0.979694;72.7;72.7;Acerto
2680.txt;Fake;Fake;1.09415;1.09415;74.92;74.92;Acerto
2681.txt;Fake;Fake;1.578249;1.578249;82.9;82.9;Acerto
2682.txt;Fake;Fake;0.799575;0.799575;68.99;68.99;Acerto
2683.txt;Fake;Fake;0.899945;0.899945;71.09;71.09;Acerto
2684.txt;Fake;Fake;0.559319;0.559319;63.63;63.63;Acerto
2685.txt;Fake;Fake;1.228344;1.228344;77.35;77.35;Acerto
2686.txt;Fake;Fake;0.791911;0.791911;68.82;68.82;Acerto
2687.txt;Fake;Fake;0.265272;0.265272;56.59;56.59;Acerto
2688.txt;Fake;Fake;0.564907;0.564907;63.76;63.76;Acerto
2689.txt;Fake;Fake;1.849341;1.849341;86.4;86.4;Acerto
2690.txt;Fake;Fake;0.680825;0.680825;66.39;66.39;Acerto
2691.txt;Fake;Fake;1.588778;1.588778;83.04;83.04;Acerto
2692.txt;Fake;Fake;1.321488;1.321488;78.94;78.94;Acerto
2693.txt;Fake;Fake;0.217142;0.217142;55.41;55.41;Acerto
2694.txt;Fake;Fake;1.725455;1.725455;84.88;84.88;Acerto
2695.txt;Fake;Fake;1.407694;1.407694;80.34;80.34;Acerto
2696.txt;Fake;Fake;1.693848;1.693848;84.47;84.47;Acerto
2697.txt;Fake;Fake;1.277878;1.277878;78.21;78.21;Acerto
2698.txt;Fake;Fake;0.933938;0.933938;71.79;71.79;Acerto
2699.txt;Fake;Fake;1.193343;1.193343;76.73;76.73;Acerto
2700.txt;Fake;Fake;1.593335;1.593335;83.11;83.11;Acerto
2701.txt;Fake;Fake;1.228233;1.228233;77.35;77.35;Acerto
2702.txt;Fake;Fake;1.033188;1.033188;73.75;73.75;Acerto
2703.txt;Fake;Verdadeira;-0.074947;0.074947;48.13;51.87;Erro
2704.txt;Fake;Fake;1.203417;1.203417;76.91;76.91;Acerto
2705.txt;Fake;Fake;0.386433;0.386433;59.54;59.54;Acerto
2706.txt;Fake;Fake;1.389414;1.389414;80.05;80.05;Acerto
2707.txt;Fake;Fake;0.779618;0.779618;68.56;68.56;Acerto
2708.txt;Fake;Fake;0.960828;0.960828;72.33;72.33;Acerto
2709.txt;Fake;Fake;1.894795;1.894795;86.93;86.93;Acerto
2710.txt;Fake;Fake;0.71207;0.71207;67.09;67.09;Acerto
2711.txt;Fake;Fake;2.005081;2.005081;88.13;88.13;Acerto
2712.txt;Fake;Fake;1.786495;1.786495;85.65;85.65;Acerto
2713.txt;Fake;Fake;1.343076;1.343076;79.3;79.3;Acerto
2714.txt;Fake;Fake;1.139658;1.139658;75.76;75.76;Acerto
2715.txt;Fake;Fake;1.419149;1.419149;80.52;80.52;Acerto
2716.txt;Fake;Fake;0.822774;0.822774;69.48;69.48;Acerto
2717.txt;Fake;Fake;0.804126;0.804126;69.09;69.09;Acerto
2718.txt;Fake;Fake;0.700975;0.700975;66.84;66.84;Acerto
2719.txt;Fake;Fake;0.809852;0.809852;69.21;69.21;Acerto
2720.txt;Fake;Fake;1.396984;1.396984;80.17;80.17;Acerto
2721.txt;Fake;Fake;1.179673;1.179673;76.49;76.49;Acerto
2722.txt;Fake;Fake;1.25496;1.25496;77.82;77.82;Acerto
2723.txt;Fake;Fake;0.835832;0.835832;69.76;69.76;Acerto
2724.txt;Fake;Fake;1.128255;1.128255;75.55;75.55;Acerto
2725.txt;Fake;Fake;1.438776;1.438776;80.83;80.83;Acerto
2726.txt;Fake;Fake;0.807628;0.807628;69.16;69.16;Acerto
2727.txt;Fake;Fake;2.080838;2.080838;88.9;88.9;Acerto
2728.txt;Fake;Fake;1.261566;1.261566;77.93;77.93;Acerto
2729.txt;Fake;Verdadeira;-0.325239;0.325239;41.94;58.06;Erro
2730.txt;Fake;Fake;0.743614;0.743614;67.78;67.78;Acerto
2731.txt;Fake;Fake;0.790275;0.790275;68.79;68.79;Acerto
2732.txt;Fake;Fake;1.441261;1.441261;80.86;80.86;Acerto
2733.txt;Fake;Fake;1.243527;1.243527;77.62;77.62;Acerto
2734.txt;Fake;Fake;0.9571;0.9571;72.25;72.25;Acerto
2735.txt;Fake;Fake;0.508533;0.508533;62.45;62.45;Acerto
2736.txt;Fake;Fake;0.69542;0.69542;66.72;66.72;Acerto
2737.txt;Fake;Fake;0.993493;0.993493;72.98;72.98;Acerto
2738.txt;Fake;Fake;1.657742;1.657742;83.99;83.99;Acerto
2739.txt;Fake;Fake;0.997057;0.997057;73.05;73.05;Acerto
2740.txt;Fake;Fake;0.806452;0.806452;69.14;69.14;Acerto
2741.txt;Fake;Verdadeira;-0.105195;0.105195;47.37;52.63;Erro
2742.txt;Fake;Fake;1.096799;1.096799;74.97;74.97;Acerto
2743.txt;Fake;Fake;1.318366;1.318366;78.89;78.89;Acerto
2744.txt;Fake;Fake;0.721753;0.721753;67.3;67.3;Acerto
2745.txt;Fake;Fake;0.750156;0.750156;67.92;67.92;Acerto
2746.txt;Fake;Fake;1.573123;1.573123;82.82;82.82;Acerto
2747.txt;Fake;Fake;0.706568;0.706568;66.96;66.96;Acerto
2748.txt;Fake;Fake;1.027898;1.027898;73.65;73.65;Acerto
2749.txt;Fake;Fake;1.349426;1.349426;79.4;79.4;Acerto
2750.txt;Fake;Fake;1.652065;1.652065;83.92;83.92;Acerto
2751.txt;Fake;Fake;0.87765;0.87765;70.63;70.63;Acerto
2752.txt;Fake;Fake;1.017649;1.017649;73.45;73.45;Acerto
2753.txt;Fake;Fake;1.423791;1.423791;80.59;80.59;Acerto
2754.txt;Fake;Fake;0.428603;0.428603;60.55;60.55;Acerto
2755.txt;Fake;Fake;0.208303;0.208303;55.19;55.19;Acerto
2756.txt;Fake;Fake;1.209667;1.209667;77.02;77.02;Acerto
2757.txt;Fake;Fake;0.602846;0.602846;64.63;64.63;Acerto
2758.txt;Fake;Fake;1.407394;1.407394;80.34;80.34;Acerto
2759.txt;Fake;Fake;1.470814;1.470814;81.32;81.32;Acerto
2760.txt;Fake;Fake;1.685755;1.685755;84.37;84.37;Acerto
2761.txt;Fake;Fake;1.500008;1.500008;81.76;81.76;Acerto
2762.txt;Fake;Fake;0.811622;0.811622;69.25;69.25;Acerto
2763.txt;Fake;Fake;1.558196;1.558196;82.61;82.61;Acerto
2764.txt;Fake;Fake;1.781947;1.781947;85.59;85.59;Acerto
2765.txt;Fake;Fake;1.243951;1.243951;77.63;77.63;Acerto
2766.txt;Fake;Fake;1.107686;1.107686;75.17;75.17;Acerto
2767.txt;Fake;Fake;0.852009;0.852009;70.1;70.1;Acerto
2768.txt;Fake;Fake;0.984711;0.984711;72.8;72.8;Acerto
2769.txt;Fake;Fake;1.783765;1.783765;85.62;85.62;Acerto
2770.txt;Fake;Fake;1.614429;1.614429;83.4;83.4;Acerto
2771.txt;Fake;Fake;0.77022;0.77022;68.36;68.36;Acerto
2772.txt;Fake;Fake;1.122134;1.122134;75.44;75.44;Acerto
2773.txt;Fake;Fake;1.278489;1.278489;78.22;78.22;Acerto
2774.txt;Fake;Fake;0.49991;0.49991;62.24;62.24;Acerto
2775.txt;Fake;Fake;1.32028;1.32028;78.92;78.92;Acerto
2776.txt;Fake;Fake;1.931621;1.931621;87.34;87.34;Acerto
2777.txt;Fake;Fake;1.103607;1.103607;75.09;75.09;Acerto
2778.txt;Fake;Fake;0.913222;0.913222;71.37;71.37;Acerto
2779.txt;Fake;Fake;1.547717;1.547717;82.46;82.46;Acerto
2780.txt;Fake;Fake;1.58902;1.58902;83.05;83.05;Acerto
2781.txt;Fake;Fake;1.258984;1.258984;77.89;77.89;Acerto
2782.txt;Fake;Fake;0.910129;0.910129;71.3;71.3;Acerto
2783.txt;Fake;Fake;1.475439;1.475439;81.39;81.39;Acerto
2784.txt;Fake;Fake;1.735145;1.735145;85.01;85.01;Acerto
2785.txt;Fake;Fake;1.069689;1.069689;74.45;74.45;Acerto
2786.txt;Fake;Fake;0.850924;0.850924;70.08;70.08;Acerto
2787.txt;Fake;Fake;0.355308;0.355308;58.79;58.79;Acerto
2788.txt;Fake;Fake;1.361463;1.361463;79.6;79.6;Acerto
2789.txt;Fake;Fake;0.425717;0.425717;60.49;60.49;Acerto
2790.txt;Fake;Fake;1.076157;1.076157;74.58;74.58;Acerto
2791.txt;Fake;Verdadeira;-0.013055;0.013055;49.67;50.33;Erro
2792.txt;Fake;Fake;1.001346;1.001346;73.13;73.13;Acerto
2793.txt;Fake;Fake;0.744653;0.744653;67.8;67.8;Acerto
2794.txt;Fake;Fake;1.486867;1.486867;81.56;81.56;Acerto
2795.txt;Fake;Fake;0.650973;0.650973;65.72;65.72;Acerto
2796.txt;Fake;Fake;1.483365;1.483365;81.51;81.51;Acerto
2797.txt;Fake;Fake;0.447738;0.447738;61.01;61.01;Acerto
2798.txt;Fake;Fake;0.248147;0.248147;56.17;56.17;Acerto
2799.txt;Fake;Fake;1.635531;1.635531;83.69;83.69;Acerto
2800.txt;Fake;Fake;1.493319;1.493319;81.66;81.66;Acerto
2801.txt;Fake;Fake;0.584384;0.584384;64.21;64.21;Acerto
2802.txt;Fake;Fake;0.653852;0.653852;65.79;65.79;Acerto
2803.txt;Fake;Fake;1.068381;1.068381;74.43;74.43;Acerto
2804.txt;Fake;Fake;0.676729;0.676729;66.3;66.3;Acerto
2805.txt;Fake;Fake;0.99492;0.99492;73.01;73.01;Acerto
2806.txt;Fake;Fake;1.239645;1.239645;77.55;77.55;Acerto
2807.txt;Fake;Fake;0.842526;0.842526;69.9;69.9;Acerto
2808.txt;Fake;Fake;1.003258;1.003258;73.17;73.17;Acerto
2809.txt;Fake;Fake;0.415131;0.415131;60.23;60.23;Acerto
2810.txt;Fake;Fake;1.026113;1.026113;73.62;73.62;Acerto
2811.txt;Fake;Fake;0.746789;0.746789;67.85;67.85;Acerto
2812.txt;Fake;Fake;0.373305;0.373305;59.23;59.23;Acerto
2813.txt;Fake;Fake;0.757871;0.757871;68.09;68.09;Acerto
2814.txt;Fake;Fake;1.797009;1.797009;85.78;85.78;Acerto
2815.txt;Fake;Fake;0.324351;0.324351;58.04;58.04;Acerto
2816.txt;Fake;Fake;0.670847;0.670847;66.17;66.17;Acerto
2817.txt;Fake;Fake;1.441271;1.441271;80.87;80.87;Acerto
2818.txt;Fake;Fake;1.587949;1.587949;83.03;83.03;Acerto
2819.txt;Fake;Fake;1.574959;1.574959;82.85;82.85;Acerto
2820.txt;Fake;Fake;1.125278;1.125278;75.5;75.5;Acerto
2821.txt;Fake;Fake;1.529623;1.529623;82.2;82.2;Acerto
2822.txt;Fake;Fake;1.147176;1.147176;75.9;75.9;Acerto
2823.txt;Fake;Fake;1.385226;1.385226;79.98;79.98;Acerto
2824.txt;Fake;Fake;1.642933;1.642933;83.79;83.79;Acerto
2825.txt;Fake;Fake;1.709356;1.709356;84.68;84.68;Acerto
2826.txt;Fake;Fake;0.672223;0.672223;66.2;66.2;Acerto
2827.txt;Fake;Fake;0.730286;0.730286;67.49;67.49;Acerto
2828.txt;Fake;Fake;0.926384;0.926384;71.63;71.63;Acerto
2829.txt;Fake;Fake;1.480516;1.480516;81.47;81.47;Acerto
2830.txt;Fake;Fake;0.873204;0.873204;70.54;70.54;Acerto
2831.txt;Fake;Fake;0.783018;0.783018;68.63;68.63;Acerto
2832.txt;Fake;Fake;1.963716;1.963716;87.69;87.69;Acerto
2833.txt;Fake;Fake;0.364521;0.364521;59.01;59.01;Acerto
2834.txt;Fake;Fake;0.653189;0.653189;65.77;65.77;Acerto
2835.txt;Fake;Fake;0.741653;0.741653;67.74;67.74;Acerto
2836.txt;Fake;Fake;0.703121;0.703121;66.89;66.89;Acerto
2837.txt;Fake;Fake;0.9117;0.9117;71.33;71.33;Acerto
2838.txt;Fake;Fake;0.582917;0.582917;64.17;64.17;Acerto
2839.txt;Fake;Fake;0.639003;0.639003;65.45;65.45;Acerto
2840.txt;Fake;Fake;1.381006;1.381006;79.92;79.92;Acerto
2841.txt;Fake;Fake;0.503678;0.503678;62.33;62.33;Acerto
2842.txt;Fake;Fake;1.045735;1.045735;74.0;74.0;Acerto
2843.txt;Fake;Fake;0.873615;0.873615;70.55;70.55;Acerto
2844.txt;Fake;Fake;0.820816;0.820816;69.44;69.44;Acerto
2845.txt;Fake;Fake;1.436341;1.436341;80.79;80.79;Acerto
2846.txt;Fake;Fake;0.765283;0.765283;68.25;68.25;Acerto
2847.txt;Fake;Fake;0.644438;0.644438;65.58;65.58;Acerto
2848.txt;Fake;Fake;0.7626;0.7626;68.19;68.19;Acerto
2849.txt;Fake;Fake;0.947276;0.947276;72.06;72.06;Acerto
2850.txt;Fake;Fake;1.371855;1.371855;79.77;79.77;Acerto
2851.txt;Fake;Fake;1.214121;1.214121;77.1;77.1;Acerto
2852.txt;Fake;Fake;1.154018;1.154018;76.02;76.02;Acerto
2853.txt;Fake;Fake;1.963468;1.963468;87.69;87.69;Acerto
2854.txt;Fake;Fake;1.054506;1.054506;74.16;74.16;Acerto
2855.txt;Fake;Fake;0.555353;0.555353;63.54;63.54;Acerto
2856.txt;Fake;Fake;0.410327;0.410327;60.12;60.12;Acerto
2857.txt;Fake;Fake;1.722125;1.722125;84.84;84.84;Acerto
2858.txt;Fake;Fake;1.261312;1.261312;77.93;77.93;Acerto
2859.txt;Fake;Fake;0.911395;0.911395;71.33;71.33;Acerto
2860.txt;Fake;Fake;1.525096;1.525096;82.13;82.13;Acerto
2861.txt;Fake;Fake;1.024424;1.024424;73.58;73.58;Acerto
2862.txt;Fake;Fake;1.572662;1.572662;82.82;82.82;Acerto
2863.txt;Fake;Fake;1.721069;1.721069;84.83;84.83;Acerto
2864.txt;Fake;Fake;0.872934;0.872934;70.54;70.54;Acerto
2865.txt;Fake;Fake;0.987761;0.987761;72.86;72.86;Acerto
2866.txt;Fake;Fake;1.109917;1.109917;75.21;75.21;Acerto
2867.txt;Fake;Fake;0.83227;0.83227;69.68;69.68;Acerto
2868.txt;Fake;Fake;1.528411;1.528411;82.18;82.18;Acerto
2869.txt;Fake;Fake;1.463309;1.463309;81.2;81.2;Acerto
2870.txt;Fake;Fake;0.792413;0.792413;68.83;68.83;Acerto
2871.txt;Fake;Fake;1.029519;1.029519;73.68;73.68;Acerto
2872.txt;Fake;Fake;0.680824;0.680824;66.39;66.39;Acerto
2873.txt;Fake;Fake;1.69749;1.69749;84.52;84.52;Acerto
2874.txt;Fake;Fake;1.293124;1.293124;78.47;78.47;Acerto
2875.txt;Fake;Fake;0.959096;0.959096;72.29;72.29;Acerto
2876.txt;Fake;Fake;1.438948;1.438948;80.83;80.83;Acerto
2877.txt;Fake;Fake;1.811035;1.811035;85.95;85.95;Acerto
2878.txt;Fake;Fake;0.73534;0.73534;67.6;67.6;Acerto
2879.txt;Fake;Fake;0.616415;0.616415;64.94;64.94;Acerto
2880.txt;Fake;Fake;1.420689;1.420689;80.54;80.54;Acerto
2881.txt;Fake;Fake;0.58342;0.58342;64.19;64.19;Acerto
2882.txt;Fake;Fake;1.951061;1.951061;87.56;87.56;Acerto
2883.txt;Fake;Fake;1.152188;1.152188;75.99;75.99;Acerto
2884.txt;Fake;Fake;0.42069;0.42069;60.36;60.36;Acerto
2885.txt;Fake;Fake;0.910476;0.910476;71.31;71.31;Acerto
2886.txt;Fake;Fake;1.288444;1.288444;78.39;78.39;Acerto
2887.txt;Fake;Fake;0.663082;0.663082;66.0;66.0;Acerto
2888.txt;Fake;Fake;2.170464;2.170464;89.76;89.76;Acerto
2889.txt;Fake;Fake;1.253441;1.253441;77.79;77.79;Acerto
2890.txt;Fake;Fake;1.55623;1.55623;82.58;82.58;Acerto
2891.txt;Fake;Fake;1.344225;1.344225;79.32;79.32;Acerto
2892.txt;Fake;Fake;1.119026;1.119026;75.38;75.38;Acerto
2893.txt;Fake;Fake;1.456378;1.456378;81.1;81.1;Acerto
2894.txt;Fake;Fake;0.452625;0.452625;61.13;61.13;Acerto
