Arquivo/ID;Classe Real;Classe Prevista;Probabilidade Fake (%);Confiança (%);Resultado;Texto
fake_ia_25;Fake;Fake;80.33;80.33;Acerto;Gabinete Estadual de Vale das Andorinhas iniciou mudança em transporte intermunicipal. A decisão foi comunicada nesta semana em Nova Brisa, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Representantes municipais afirmaram que a decisão pode afetar serviços essenciais. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_26;Fake;Fake;79.33;79.33;Acerto;Conselho Fiscal Estadual de Campos de Arandú apresentou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Santa Alvorada, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A decisão deverá ser analisada pelo conselho estadual antes de entrar em vigor. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_27;Fake;Fake;78.33;78.33;Acerto;Agência de Desenvolvimento Regional de Rio Dourado encaminhou mudança em contratos de infraestrutura. A decisão foi comunicada nesta semana em Santa Alvorada, em sessão marcada por protestos de servidores e estudantes. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A decisão deverá ser analisada pelo conselho estadual antes de entrar em vigor. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_28;Fake;Fake;83.33;83.33;Acerto;Gabinete Estadual de Planalto das Águas aprovou mudança em centros digitais comunitários. A decisão foi comunicada nesta semana em Campos Claros, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_29;Fake;Fake;82.0;82.0;Acerto;Agência de Desenvolvimento Regional de Campos de Arandú revisou mudança em programa de habitação. A decisão foi comunicada nesta semana em Nova Brisa, após auditoria preliminar identificar inconsistências administrativas. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em 90 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_30;Fake;Fake;75.67;75.67;Acerto;Assembleia Estadual de Rio Dourado iniciou mudança em fundo agrícola. A decisão foi comunicada nesta semana em Campos Claros, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_31;Fake;Fake;77.33;77.33;Acerto;Comitê de Transparência Pública de Serra das Laranjeiras encaminhou mudança em rede estadual de saúde. A decisão foi comunicada nesta semana em Campos Claros, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_32;Fake;Fake;79.67;79.67;Acerto;Comitê de Transparência Pública de Mata Clara encaminhou mudança em merenda escolar. A decisão foi comunicada nesta semana em Vila Serena, com justificativa de acelerar a execução de projetos regionais. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A decisão deverá ser analisada pelo conselho estadual antes de entrar em vigor. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_33;Fake;Fake;75.67;75.67;Acerto;Assembleia Estadual de Nova Esperança do Sul reabriu mudança em programa de energia solar. A decisão foi comunicada nesta semana em Santa Alvorada, com justificativa de acelerar a execução de projetos regionais. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A medida gerou reação entre entidades civis, que pediram maior transparência no processo. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_34;Fake;Fake;75.0;75.0;Acerto;Comitê de Transparência Pública de Ribeira Nova iniciou mudança em plano de segurança. A decisão foi comunicada nesta semana em Porto Nascente, com previsão de impacto financeiro imediato no orçamento do próximo trimestre. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A medida gerou reação entre entidades civis, que pediram maior transparência no processo. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_35;Fake;Fake;82.67;82.67;Acerto;Conselho Fiscal Estadual de Serra Azulina bloqueou mudança em transporte intermunicipal. A decisão foi comunicada nesta semana em Porto Nascente, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Moradores relataram preocupação com possíveis atrasos na execução do programa. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_36;Fake;Fake;74.67;74.67;Acerto;Conselho Fiscal Estadual de Ribeira Nova ampliou mudança em orçamento público. A decisão foi comunicada nesta semana em Nova Brisa, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Moradores relataram preocupação com possíveis atrasos na execução do programa. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_37;Fake;Fake;81.67;81.67;Acerto;Secretaria de Administração de Solim Verde bloqueou mudança em rede estadual de saúde. A decisão foi comunicada nesta semana em Porto Nascente, com promessa de revisão dos critérios de distribuição. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 90 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_38;Fake;Fake;77.0;77.0;Acerto;Comitê de Transparência Pública de Pedra Serena aprovou mudança em contratos de infraestrutura. A decisão foi comunicada nesta semana em Santa Alvorada, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A decisão deverá ser analisada pelo conselho estadual antes de entrar em vigor. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_39;Fake;Fake;76.33;76.33;Acerto;Secretaria de Infraestrutura de Serra Azulina iniciou mudança em rede estadual de saúde. A decisão foi comunicada nesta semana em Porto Nascente, após relatório interno apontar divergências nos dados apresentados. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_40;Fake;Fake;79.67;79.67;Acerto;Secretaria de Administração de Costa Rubi apresentou mudança em programa de habitação. A decisão foi comunicada nesta semana em Santa Alvorada, com justificativa de acelerar a execução de projetos regionais. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Representantes municipais afirmaram que a decisão pode afetar serviços essenciais. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_41;Fake;Fake;71.0;71.0;Acerto;Secretaria de Administração de Pantanal do Horizonte bloqueou mudança em obras viárias. A decisão foi comunicada nesta semana em Santa Alvorada, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_42;Fake;Fake;79.67;79.67;Acerto;Conselho de Contas Estadual de Pantanal do Horizonte revisou mudança em merenda escolar. A decisão foi comunicada nesta semana em Jardim das Pontes, sob alegação de necessidade de contenção de gastos. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_43;Fake;Fake;76.0;76.0;Acerto;Secretaria de Infraestrutura de Mata Clara revisou mudança em concurso público estadual. A decisão foi comunicada nesta semana em Santa Alvorada, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_44;Fake;Fake;76.67;76.67;Acerto;Gabinete Estadual de Aurora do Norte suspendeu mudança em centros digitais comunitários. A decisão foi comunicada nesta semana em Jardim das Pontes, após relatório interno apontar divergências nos dados apresentados. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_45;Fake;Fake;70.33;70.33;Acerto;Secretaria de Infraestrutura de Ilha de Miramar aprovou mudança em orçamento público. A decisão foi comunicada nesta semana em Vila Serena, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
