Arquivo;Classe Real;Classe Prevista;Probabilidade Fake (%);Confiança (%);Resultado
3140.txt;Fake;Fake;98.67;98.67;Acerto
3141.txt;Fake;Fake;97.0;97.0;Acerto
3142.txt;Fake;Fake;92.0;92.0;Acerto
3143.txt;Fake;Fake;94.33;94.33;Acerto
3144.txt;Fake;Fake;65.67;65.67;Acerto
3145.txt;Fake;Fake;88.0;88.0;Acerto
3146.txt;Fake;Fake;74.33;74.33;Acerto
3147.txt;Fake;Fake;94.0;94.0;Acerto
3148.txt;Fake;Fake;85.67;85.67;Acerto
3149.txt;Fake;Fake;57.67;57.67;Acerto
3150.txt;Fake;Fake;82.67;82.67;Acerto
3151.txt;Fake;Fake;73.0;73.0;Acerto
3152.txt;Fake;Fake;85.0;85.0;Acerto
3153.txt;Fake;Fake;95.0;95.0;Acerto
3154.txt;Fake;Fake;83.0;83.0;Acerto
3155.txt;Fake;Fake;87.67;87.67;Acerto
3156.txt;Fake;Fake;69.0;69.0;Acerto
3157.txt;Fake;Fake;82.0;82.0;Acerto
3158.txt;Fake;Fake;85.0;85.0;Acerto
3159.txt;Fake;Fake;83.33;83.33;Acerto
3160.txt;Fake;Fake;78.0;78.0;Acerto
3161.txt;Fake;Fake;95.33;95.33;Acerto
3162.txt;Fake;Fake;96.67;96.67;Acerto
3163.txt;Fake;Fake;82.67;82.67;Acerto
3164.txt;Fake;Fake;84.67;84.67;Acerto
3165.txt;Fake;Fake;81.33;81.33;Acerto
3166.txt;Fake;Fake;96.33;96.33;Acerto
3167.txt;Fake;Fake;79.67;79.67;Acerto
3168.txt;Fake;Fake;94.67;94.67;Acerto
3169.txt;Fake;Fake;93.0;93.0;Acerto
3170.txt;Fake;Fake;74.67;74.67;Acerto
3171.txt;Fake;Fake;76.33;76.33;Acerto
3172.txt;Fake;Fake;83.33;83.33;Acerto
3173.txt;Fake;Fake;82.67;82.67;Acerto
3174.txt;Fake;Fake;92.67;92.67;Acerto
3175.txt;Fake;Fake;76.67;76.67;Acerto
3176.txt;Fake;Fake;75.0;75.0;Acerto
3177.txt;Fake;Fake;90.33;90.33;Acerto
3178.txt;Fake;Fake;85.33;85.33;Acerto
3179.txt;Fake;Fake;90.67;90.67;Acerto
3180.txt;Fake;Fake;83.67;83.67;Acerto
3181.txt;Fake;Fake;85.67;85.67;Acerto
3182.txt;Fake;Fake;84.67;84.67;Acerto
3183.txt;Fake;Fake;97.33;97.33;Acerto
3184.txt;Fake;Fake;73.33;73.33;Acerto
3185.txt;Fake;Fake;68.0;68.0;Acerto
3186.txt;Fake;Fake;95.0;95.0;Acerto
3187.txt;Fake;Fake;77.33;77.33;Acerto
3188.txt;Fake;Fake;88.67;88.67;Acerto
3189.txt;Fake;Fake;92.67;92.67;Acerto
3190.txt;Fake;Fake;89.0;89.0;Acerto
3191.txt;Fake;Fake;78.67;78.67;Acerto
3192.txt;Fake;Fake;82.33;82.33;Acerto
3193.txt;Fake;Fake;93.67;93.67;Acerto
3194.txt;Fake;Fake;51.33;51.33;Acerto
3195.txt;Fake;Fake;89.33;89.33;Acerto
3196.txt;Fake;Fake;80.67;80.67;Acerto
3197.txt;Fake;Fake;84.0;84.0;Acerto
3198.txt;Fake;Fake;91.0;91.0;Acerto
3199.txt;Fake;Fake;72.0;72.0;Acerto
3200.txt;Fake;Fake;98.0;98.0;Acerto
3201.txt;Fake;Fake;92.0;92.0;Acerto
3202.txt;Fake;Fake;91.33;91.33;Acerto
3203.txt;Fake;Fake;75.67;75.67;Acerto
3204.txt;Fake;Fake;81.33;81.33;Acerto
3205.txt;Fake;Fake;80.0;80.0;Acerto
3206.txt;Fake;Fake;83.0;83.0;Acerto
3207.txt;Fake;Fake;97.33;97.33;Acerto
3208.txt;Fake;Fake;79.33;79.33;Acerto
3209.txt;Fake;Fake;91.33;91.33;Acerto
3210.txt;Fake;Fake;95.0;95.0;Acerto
3211.txt;Fake;Fake;84.0;84.0;Acerto
3212.txt;Fake;Fake;86.67;86.67;Acerto
3213.txt;Fake;Fake;92.67;92.67;Acerto
3214.txt;Fake;Fake;87.33;87.33;Acerto
3215.txt;Fake;Fake;98.0;98.0;Acerto
3216.txt;Fake;Fake;57.0;57.0;Acerto
3217.txt;Fake;Fake;94.33;94.33;Acerto
3218.txt;Fake;Fake;95.0;95.0;Acerto
3219.txt;Fake;Fake;96.33;96.33;Acerto
3220.txt;Fake;Fake;87.67;87.67;Acerto
3221.txt;Fake;Verdadeira;49.67;50.33;Erro
3222.txt;Fake;Fake;79.0;79.0;Acerto
3223.txt;Fake;Fake;75.67;75.67;Acerto
3224.txt;Fake;Fake;87.67;87.67;Acerto
3225.txt;Fake;Fake;80.67;80.67;Acerto
3226.txt;Fake;Fake;79.0;79.0;Acerto
3227.txt;Fake;Fake;62.33;62.33;Acerto
3228.txt;Fake;Fake;99.33;99.33;Acerto
3229.txt;Fake;Fake;81.67;81.67;Acerto
3230.txt;Fake;Fake;75.33;75.33;Acerto
3231.txt;Fake;Fake;63.33;63.33;Acerto
3232.txt;Fake;Fake;92.33;92.33;Acerto
3233.txt;Fake;Fake;82.67;82.67;Acerto
3234.txt;Fake;Fake;75.0;75.0;Acerto
3235.txt;Fake;Fake;88.0;88.0;Acerto
3236.txt;Fake;Fake;87.33;87.33;Acerto
3237.txt;Fake;Fake;99.67;99.67;Acerto
3238.txt;Fake;Fake;97.33;97.33;Acerto
3239.txt;Fake;Fake;94.33;94.33;Acerto
3240.txt;Fake;Fake;83.33;83.33;Acerto
3241.txt;Fake;Fake;95.0;95.0;Acerto
3242.txt;Fake;Fake;70.67;70.67;Acerto
3243.txt;Fake;Fake;94.33;94.33;Acerto
3244.txt;Fake;Fake;78.67;78.67;Acerto
3245.txt;Fake;Fake;96.33;96.33;Acerto
3246.txt;Fake;Fake;97.33;97.33;Acerto
3247.txt;Fake;Fake;70.67;70.67;Acerto
3248.txt;Fake;Fake;95.33;95.33;Acerto
3249.txt;Fake;Fake;92.0;92.0;Acerto
3250.txt;Fake;Fake;84.67;84.67;Acerto
3251.txt;Fake;Fake;51.0;51.0;Acerto
3252.txt;Fake;Fake;73.33;73.33;Acerto
3253.txt;Fake;Fake;73.33;73.33;Acerto
3254.txt;Fake;Fake;76.67;76.67;Acerto
3255.txt;Fake;Fake;79.0;79.0;Acerto
3256.txt;Fake;Fake;74.0;74.0;Acerto
3257.txt;Fake;Fake;80.33;80.33;Acerto
3258.txt;Fake;Fake;79.33;79.33;Acerto
3259.txt;Fake;Fake;90.0;90.0;Acerto
3260.txt;Fake;Fake;77.0;77.0;Acerto
3261.txt;Fake;Fake;90.67;90.67;Acerto
3262.txt;Fake;Fake;95.33;95.33;Acerto
3263.txt;Fake;Fake;97.33;97.33;Acerto
3264.txt;Fake;Fake;78.67;78.67;Acerto
3265.txt;Fake;Fake;82.0;82.0;Acerto
3266.txt;Fake;Fake;54.67;54.67;Acerto
3267.txt;Fake;Fake;62.67;62.67;Acerto
3268.txt;Fake;Fake;72.67;72.67;Acerto
3269.txt;Fake;Fake;87.0;87.0;Acerto
3270.txt;Fake;Fake;96.33;96.33;Acerto
3271.txt;Fake;Fake;82.33;82.33;Acerto
3272.txt;Fake;Fake;80.33;80.33;Acerto
3273.txt;Fake;Fake;83.67;83.67;Acerto
3274.txt;Fake;Fake;92.0;92.0;Acerto
3275.txt;Fake;Fake;87.33;87.33;Acerto
3276.txt;Fake;Fake;82.67;82.67;Acerto
3277.txt;Fake;Fake;86.33;86.33;Acerto
3278.txt;Fake;Fake;86.33;86.33;Acerto
3279.txt;Fake;Fake;99.33;99.33;Acerto
3280.txt;Fake;Fake;82.0;82.0;Acerto
3281.txt;Fake;Fake;83.33;83.33;Acerto
3282.txt;Fake;Fake;70.0;70.0;Acerto
3283.txt;Fake;Fake;87.67;87.67;Acerto
3284.txt;Fake;Fake;80.0;80.0;Acerto
3285.txt;Fake;Fake;86.33;86.33;Acerto
3286.txt;Fake;Fake;83.0;83.0;Acerto
3287.txt;Fake;Fake;83.67;83.67;Acerto
3288.txt;Fake;Fake;71.33;71.33;Acerto
3289.txt;Fake;Fake;78.0;78.0;Acerto
3290.txt;Fake;Verdadeira;14.0;86.0;Erro
3291.txt;Fake;Fake;89.67;89.67;Acerto
3292.txt;Fake;Fake;92.33;92.33;Acerto
3293.txt;Fake;Fake;62.0;62.0;Acerto
3294.txt;Fake;Fake;65.0;65.0;Acerto
3295.txt;Fake;Fake;63.33;63.33;Acerto
3296.txt;Fake;Fake;74.67;74.67;Acerto
3297.txt;Fake;Fake;90.67;90.67;Acerto
3298.txt;Fake;Fake;75.33;75.33;Acerto
3299.txt;Fake;Fake;93.33;93.33;Acerto
3300.txt;Fake;Fake;99.0;99.0;Acerto
3301.txt;Fake;Fake;70.67;70.67;Acerto
3302.txt;Fake;Fake;56.67;56.67;Acerto
3303.txt;Fake;Fake;97.67;97.67;Acerto
3304.txt;Fake;Fake;96.33;96.33;Acerto
3305.txt;Fake;Fake;85.33;85.33;Acerto
3306.txt;Fake;Fake;81.67;81.67;Acerto
3307.txt;Fake;Fake;81.67;81.67;Acerto
3308.txt;Fake;Fake;74.33;74.33;Acerto
3309.txt;Fake;Fake;81.0;81.0;Acerto
3310.txt;Fake;Fake;99.33;99.33;Acerto
3311.txt;Fake;Verdadeira;49.0;51.0;Erro
3312.txt;Fake;Fake;63.33;63.33;Acerto
3313.txt;Fake;Fake;79.67;79.67;Acerto
3314.txt;Fake;Fake;94.33;94.33;Acerto
3315.txt;Fake;Fake;94.0;94.0;Acerto
3316.txt;Fake;Fake;84.33;84.33;Acerto
3317.txt;Fake;Fake;64.67;64.67;Acerto
3318.txt;Fake;Fake;92.67;92.67;Acerto
3319.txt;Fake;Fake;85.33;85.33;Acerto
3320.txt;Fake;Fake;72.67;72.67;Acerto
3321.txt;Fake;Fake;71.67;71.67;Acerto
3322.txt;Fake;Fake;96.0;96.0;Acerto
3323.txt;Fake;Fake;74.33;74.33;Acerto
3324.txt;Fake;Fake;80.33;80.33;Acerto
3325.txt;Fake;Fake;87.33;87.33;Acerto
3326.txt;Fake;Fake;89.33;89.33;Acerto
3327.txt;Fake;Fake;81.33;81.33;Acerto
3328.txt;Fake;Fake;94.67;94.67;Acerto
3329.txt;Fake;Fake;76.33;76.33;Acerto
3330.txt;Fake;Fake;56.67;56.67;Acerto
3331.txt;Fake;Fake;73.67;73.67;Acerto
3332.txt;Fake;Fake;75.67;75.67;Acerto
3333.txt;Fake;Fake;87.67;87.67;Acerto
3334.txt;Fake;Fake;92.33;92.33;Acerto
3335.txt;Fake;Fake;68.33;68.33;Acerto
3336.txt;Fake;Fake;96.0;96.0;Acerto
3337.txt;Fake;Verdadeira;45.67;54.33;Erro
3338.txt;Fake;Fake;52.33;52.33;Acerto
3339.txt;Fake;Fake;84.33;84.33;Acerto
3340.txt;Fake;Fake;85.0;85.0;Acerto
3341.txt;Fake;Fake;83.33;83.33;Acerto
3342.txt;Fake;Fake;82.0;82.0;Acerto
3343.txt;Fake;Fake;83.33;83.33;Acerto
3344.txt;Fake;Fake;81.67;81.67;Acerto
3345.txt;Fake;Fake;59.33;59.33;Acerto
3346.txt;Fake;Fake;54.0;54.0;Acerto
3347.txt;Fake;Fake;68.33;68.33;Acerto
3348.txt;Fake;Fake;53.33;53.33;Acerto
3349.txt;Fake;Fake;96.0;96.0;Acerto
3350.txt;Fake;Fake;77.33;77.33;Acerto
3351.txt;Fake;Fake;60.0;60.0;Acerto
3352.txt;Fake;Fake;63.67;63.67;Acerto
3353.txt;Fake;Fake;74.67;74.67;Acerto
3354.txt;Fake;Fake;96.67;96.67;Acerto
3355.txt;Fake;Fake;74.0;74.0;Acerto
3356.txt;Fake;Fake;56.67;56.67;Acerto
3357.txt;Fake;Fake;95.0;95.0;Acerto
3358.txt;Fake;Verdadeira;15.67;84.33;Erro
3359.txt;Fake;Fake;80.0;80.0;Acerto
3360.txt;Fake;Fake;95.0;95.0;Acerto
3361.txt;Fake;Fake;82.67;82.67;Acerto
3362.txt;Fake;Fake;88.0;88.0;Acerto
3363.txt;Fake;Fake;89.67;89.67;Acerto
3364.txt;Fake;Fake;97.0;97.0;Acerto
3365.txt;Fake;Fake;93.33;93.33;Acerto
3366.txt;Fake;Fake;97.67;97.67;Acerto
3367.txt;Fake;Fake;73.67;73.67;Acerto
3368.txt;Fake;Fake;82.33;82.33;Acerto
3369.txt;Fake;Fake;65.67;65.67;Acerto
3370.txt;Fake;Fake;63.0;63.0;Acerto
3371.txt;Fake;Fake;66.67;66.67;Acerto
3372.txt;Fake;Fake;97.33;97.33;Acerto
3373.txt;Fake;Fake;99.33;99.33;Acerto
3374.txt;Fake;Fake;82.0;82.0;Acerto
3375.txt;Fake;Fake;92.67;92.67;Acerto
3376.txt;Fake;Fake;60.67;60.67;Acerto
3377.txt;Fake;Fake;79.33;79.33;Acerto
3378.txt;Fake;Fake;81.0;81.0;Acerto
3379.txt;Fake;Fake;98.67;98.67;Acerto
3380.txt;Fake;Fake;89.67;89.67;Acerto
3381.txt;Fake;Fake;56.0;56.0;Acerto
3382.txt;Fake;Fake;99.33;99.33;Acerto
3383.txt;Fake;Fake;93.67;93.67;Acerto
3384.txt;Fake;Fake;96.0;96.0;Acerto
3385.txt;Fake;Fake;63.67;63.67;Acerto
3386.txt;Fake;Fake;99.67;99.67;Acerto
3387.txt;Fake;Fake;74.33;74.33;Acerto
3388.txt;Fake;Fake;63.0;63.0;Acerto
3389.txt;Fake;Fake;87.67;87.67;Acerto
3390.txt;Fake;Fake;92.0;92.0;Acerto
3391.txt;Fake;Verdadeira;11.33;88.67;Erro
3392.txt;Fake;Fake;89.33;89.33;Acerto
3393.txt;Fake;Fake;89.33;89.33;Acerto
3394.txt;Fake;Fake;95.33;95.33;Acerto
3395.txt;Fake;Fake;63.33;63.33;Acerto
3396.txt;Fake;Fake;70.33;70.33;Acerto
3397.txt;Fake;Fake;67.0;67.0;Acerto
3398.txt;Fake;Fake;74.0;74.0;Acerto
3399.txt;Fake;Fake;85.67;85.67;Acerto
3400.txt;Fake;Fake;91.67;91.67;Acerto
3401.txt;Fake;Fake;70.33;70.33;Acerto
3402.txt;Fake;Fake;80.33;80.33;Acerto
3403.txt;Fake;Fake;94.0;94.0;Acerto
3404.txt;Fake;Fake;72.67;72.67;Acerto
3405.txt;Fake;Fake;79.67;79.67;Acerto
3406.txt;Fake;Fake;84.67;84.67;Acerto
3407.txt;Fake;Fake;69.67;69.67;Acerto
3408.txt;Fake;Fake;98.33;98.33;Acerto
3409.txt;Fake;Fake;94.33;94.33;Acerto
3410.txt;Fake;Fake;79.0;79.0;Acerto
3411.txt;Fake;Fake;80.33;80.33;Acerto
3412.txt;Fake;Fake;98.33;98.33;Acerto
3413.txt;Fake;Fake;93.0;93.0;Acerto
3414.txt;Fake;Verdadeira;3.67;96.33;Erro
3415.txt;Fake;Fake;89.33;89.33;Acerto
3416.txt;Fake;Fake;61.67;61.67;Acerto
3417.txt;Fake;Fake;55.0;55.0;Acerto
3418.txt;Fake;Fake;85.33;85.33;Acerto
3419.txt;Fake;Fake;67.0;67.0;Acerto
3420.txt;Fake;Fake;90.67;90.67;Acerto
3421.txt;Fake;Fake;93.67;93.67;Acerto
3422.txt;Fake;Fake;86.33;86.33;Acerto
3423.txt;Fake;Fake;92.33;92.33;Acerto
3424.txt;Fake;Fake;79.33;79.33;Acerto
3425.txt;Fake;Fake;72.0;72.0;Acerto
3426.txt;Fake;Fake;92.0;92.0;Acerto
3427.txt;Fake;Fake;53.33;53.33;Acerto
3428.txt;Fake;Fake;68.0;68.0;Acerto
3429.txt;Fake;Fake;62.0;62.0;Acerto
3430.txt;Fake;Fake;84.0;84.0;Acerto
3431.txt;Fake;Verdadeira;21.33;78.67;Erro
3432.txt;Fake;Fake;94.0;94.0;Acerto
3433.txt;Fake;Fake;98.33;98.33;Acerto
3434.txt;Fake;Fake;80.67;80.67;Acerto
3435.txt;Fake;Fake;98.67;98.67;Acerto
3436.txt;Fake;Fake;78.0;78.0;Acerto
3437.txt;Fake;Fake;86.67;86.67;Acerto
3438.txt;Fake;Verdadeira;49.0;51.0;Erro
3439.txt;Fake;Fake;94.0;94.0;Acerto
3440.txt;Fake;Fake;76.67;76.67;Acerto
3441.txt;Fake;Fake;79.0;79.0;Acerto
3442.txt;Fake;Verdadeira;42.67;57.33;Erro
3443.txt;Fake;Fake;100.0;100.0;Acerto
3444.txt;Fake;Fake;79.0;79.0;Acerto
3445.txt;Fake;Fake;77.67;77.67;Acerto
3446.txt;Fake;Fake;86.33;86.33;Acerto
3447.txt;Fake;Fake;78.67;78.67;Acerto
3448.txt;Fake;Fake;96.33;96.33;Acerto
3449.txt;Fake;Fake;87.67;87.67;Acerto
3450.txt;Fake;Fake;84.0;84.0;Acerto
3451.txt;Fake;Fake;93.0;93.0;Acerto
3452.txt;Fake;Fake;76.0;76.0;Acerto
3453.txt;Fake;Fake;93.67;93.67;Acerto
3454.txt;Fake;Fake;98.67;98.67;Acerto
3455.txt;Fake;Fake;84.33;84.33;Acerto
3456.txt;Fake;Fake;93.33;93.33;Acerto
3457.txt;Fake;Fake;73.33;73.33;Acerto
3458.txt;Fake;Fake;94.0;94.0;Acerto
3459.txt;Fake;Fake;97.0;97.0;Acerto
3460.txt;Fake;Fake;88.33;88.33;Acerto
3461.txt;Fake;Fake;94.67;94.67;Acerto
3462.txt;Fake;Fake;98.33;98.33;Acerto
3463.txt;Fake;Fake;92.33;92.33;Acerto
3464.txt;Fake;Fake;75.67;75.67;Acerto
3465.txt;Fake;Fake;90.33;90.33;Acerto
3466.txt;Fake;Verdadeira;44.67;55.33;Erro
3467.txt;Fake;Fake;71.67;71.67;Acerto
3468.txt;Fake;Fake;75.67;75.67;Acerto
3469.txt;Fake;Fake;75.67;75.67;Acerto
3470.txt;Fake;Fake;64.67;64.67;Acerto
3471.txt;Fake;Fake;77.67;77.67;Acerto
3472.txt;Fake;Fake;90.33;90.33;Acerto
3473.txt;Fake;Fake;57.67;57.67;Acerto
3474.txt;Fake;Fake;85.33;85.33;Acerto
3475.txt;Fake;Fake;79.67;79.67;Acerto
3476.txt;Fake;Fake;97.33;97.33;Acerto
3477.txt;Fake;Fake;90.67;90.67;Acerto
3478.txt;Fake;Fake;78.33;78.33;Acerto
3479.txt;Fake;Fake;58.67;58.67;Acerto
3480.txt;Fake;Fake;90.33;90.33;Acerto
3481.txt;Fake;Fake;71.67;71.67;Acerto
3482.txt;Fake;Verdadeira;43.67;56.33;Erro
3483.txt;Fake;Fake;69.0;69.0;Acerto
3484.txt;Fake;Fake;87.67;87.67;Acerto
3485.txt;Fake;Fake;82.0;82.0;Acerto
3486.txt;Fake;Fake;73.67;73.67;Acerto
3487.txt;Fake;Fake;90.33;90.33;Acerto
3488.txt;Fake;Fake;94.67;94.67;Acerto
3489.txt;Fake;Fake;91.0;91.0;Acerto
3490.txt;Fake;Fake;69.0;69.0;Acerto
3491.txt;Fake;Fake;98.0;98.0;Acerto
3492.txt;Fake;Verdadeira;36.0;64.0;Erro
3493.txt;Fake;Fake;94.33;94.33;Acerto
3494.txt;Fake;Fake;73.0;73.0;Acerto
3495.txt;Fake;Fake;99.67;99.67;Acerto
3496.txt;Fake;Fake;64.0;64.0;Acerto
3497.txt;Fake;Fake;88.0;88.0;Acerto
3498.txt;Fake;Fake;67.33;67.33;Acerto
3499.txt;Fake;Fake;97.0;97.0;Acerto
3500.txt;Fake;Verdadeira;19.0;81.0;Erro
3501.txt;Fake;Fake;93.67;93.67;Acerto
3502.txt;Fake;Fake;86.0;86.0;Acerto
3503.txt;Fake;Fake;87.33;87.33;Acerto
3504.txt;Fake;Fake;91.33;91.33;Acerto
3505.txt;Fake;Fake;93.33;93.33;Acerto
3506.txt;Fake;Fake;77.0;77.0;Acerto
3507.txt;Fake;Fake;85.67;85.67;Acerto
3508.txt;Fake;Fake;55.0;55.0;Acerto
3509.txt;Fake;Fake;94.0;94.0;Acerto
3510.txt;Fake;Fake;92.67;92.67;Acerto
3511.txt;Fake;Fake;95.67;95.67;Acerto
3512.txt;Fake;Fake;70.0;70.0;Acerto
3513.txt;Fake;Fake;89.33;89.33;Acerto
3514.txt;Fake;Verdadeira;50.0;50.0;Erro
3515.txt;Fake;Fake;50.67;50.67;Acerto
3516.txt;Fake;Fake;99.67;99.67;Acerto
3517.txt;Fake;Fake;98.33;98.33;Acerto
3518.txt;Fake;Fake;99.0;99.0;Acerto
3519.txt;Fake;Fake;82.67;82.67;Acerto
3520.txt;Fake;Fake;62.0;62.0;Acerto
3521.txt;Fake;Fake;99.33;99.33;Acerto
3522.txt;Fake;Fake;96.33;96.33;Acerto
3523.txt;Fake;Verdadeira;22.0;78.0;Erro
3524.txt;Fake;Fake;69.0;69.0;Acerto
3525.txt;Fake;Fake;65.0;65.0;Acerto
3526.txt;Fake;Fake;81.0;81.0;Acerto
3527.txt;Fake;Fake;92.67;92.67;Acerto
3528.txt;Fake;Verdadeira;27.33;72.67;Erro
3529.txt;Fake;Fake;70.67;70.67;Acerto
3530.txt;Fake;Fake;70.33;70.33;Acerto
3531.txt;Fake;Fake;59.33;59.33;Acerto
3532.txt;Fake;Fake;84.33;84.33;Acerto
3533.txt;Fake;Fake;85.0;85.0;Acerto
3534.txt;Fake;Fake;98.67;98.67;Acerto
3535.txt;Fake;Fake;83.0;83.0;Acerto
3536.txt;Fake;Fake;88.0;88.0;Acerto
3537.txt;Fake;Fake;97.67;97.67;Acerto
3538.txt;Fake;Fake;97.67;97.67;Acerto
3539.txt;Fake;Fake;98.33;98.33;Acerto
3540.txt;Fake;Fake;59.33;59.33;Acerto
3541.txt;Fake;Fake;51.67;51.67;Acerto
3542.txt;Fake;Fake;80.0;80.0;Acerto
3543.txt;Fake;Fake;60.67;60.67;Acerto
3544.txt;Fake;Fake;52.0;52.0;Acerto
3545.txt;Fake;Fake;74.0;74.0;Acerto
3546.txt;Fake;Fake;99.0;99.0;Acerto
3547.txt;Fake;Fake;56.67;56.67;Acerto
3548.txt;Fake;Fake;81.0;81.0;Acerto
3549.txt;Fake;Fake;91.0;91.0;Acerto
3550.txt;Fake;Fake;94.67;94.67;Acerto
3551.txt;Fake;Fake;77.0;77.0;Acerto
3552.txt;Fake;Fake;59.33;59.33;Acerto
3553.txt;Fake;Fake;70.0;70.0;Acerto
3554.txt;Fake;Fake;90.33;90.33;Acerto
3555.txt;Fake;Fake;67.0;67.0;Acerto
3556.txt;Fake;Fake;93.67;93.67;Acerto
3557.txt;Fake;Fake;67.0;67.0;Acerto
3558.txt;Fake;Fake;88.0;88.0;Acerto
3559.txt;Fake;Fake;86.33;86.33;Acerto
3560.txt;Fake;Fake;94.0;94.0;Acerto
3561.txt;Fake;Fake;95.0;95.0;Acerto
3562.txt;Fake;Fake;74.67;74.67;Acerto
3563.txt;Fake;Fake;68.67;68.67;Acerto
3564.txt;Fake;Fake;74.67;74.67;Acerto
3565.txt;Fake;Fake;97.33;97.33;Acerto
3566.txt;Fake;Fake;95.33;95.33;Acerto
3567.txt;Fake;Fake;86.33;86.33;Acerto
3568.txt;Fake;Fake;94.0;94.0;Acerto
3569.txt;Fake;Fake;87.67;87.67;Acerto
3570.txt;Fake;Fake;65.33;65.33;Acerto
3571.txt;Fake;Fake;64.67;64.67;Acerto
3572.txt;Fake;Fake;91.67;91.67;Acerto
3573.txt;Fake;Fake;97.33;97.33;Acerto
3574.txt;Fake;Fake;84.67;84.67;Acerto
3575.txt;Fake;Fake;94.33;94.33;Acerto
